,Muncipality,Acreage,City,Address,ImprovementAssessedValue2019,ImprovementFairMarketValue2019,LandAssessedValue2019,LandFairMarketValue2019,TotalAssessedValue2019,TotalFairMarketValue2019,ImprovementAssessedValue2018,ImprovementFairMarketValue2018,LandAssessedValue2018,LandFairMarketValue2018,TotalAssessedValue2018,TotalFairMarketValue2018
72967,City of Onalaska         ,1.47,ONALASKA, 9550 EAST 16 FRONTAGE RD   ,1074500,1085900,250400,253000,1324900,1338900,1216800,1325200,151400,164900,1368200,1490100
39013,City of La Crosse        ,0.158,LA CROSSE, 1604 EAST AVE  S,124500,135200,29200,31700,153700,166900,99500,119000,14100,16900,113600,135900
53929,City of La Crosse        ,0.35,LA CROSSE, 4324 MARIAH DR   S,0,0,30300,32900,30300,32900,0,0,31000,37100,31000,37100
57869,City of La Crosse        ,0.189,LA CROSSE, 1024 AVON ST   ,147800,160500,13600,14800,161400,175300,116900,139800,10900,13000,127800,152800
35832,City of La Crosse        ,0.123,LA CROSSE, 2121 16TH ST   S,79900,86800,27200,29500,107100,116300,62500,74800,23200,27800,85700,102600
9797,Town of Hamilton         ,1.533,WEST SALEM, W5257 DUSTY RD   ,162300,202100,31300,39000,193600,241100,162300,188700,31300,36400,193600,225100
43542,City of Onalaska         ,0.22,ONALASKA, 917 KEITH PL   ,231500,233900,38900,39300,270400,273200,224200,244200,38900,42400,263100,286600
613,Town of Bangor           ,4.05,BANGOR, W855 COUNTY ROAD JJ      ,5800,6800,10500,12200,16300,19000,5800,6500,10500,11800,16300,18300
31372,City of La Crosse        ,0.124,LA CROSSE, 403 8TH ST   S,86500,93900,19300,21000,105800,114900,65200,78000,17500,20900,82700,98900
40360,City of Onalaska         ,0.14,ONALASKA, 418 4TH AVE  N,119100,120400,22500,22700,141600,143100,87700,95500,21400,23300,109100,118800
37537,City of La Crosse        ,0.194,LA CROSSE, 3041 31ST ST   S,130000,141200,23300,25300,153300,166500,104100,124500,22800,27300,126900,151800
25995,City of La Crosse        ,0.129,LA CROSSE, 2328 KANE ST   ,87200,94700,16500,17900,103700,112600,84300,100800,12500,15000,96800,115800
20432,Village of Holmen        ,0.21,HOLMEN, 208 GREENO RD   ,150300,146200,38400,37400,188700,183600,115100,135500,23400,27600,138500,163100
28578,City of La Crosse        ,0.154,LA CROSSE, 2225 PINE ST   ,135100,146700,50800,55200,185900,201900,102900,123100,38400,45900,141300,169000
5929,Town of Farmington       ,0.61,MINDORO, W4614 COUNTY ROAD T      ,46000,58200,5500,7000,51500,65200,46000,54700,5500,6500,51500,61200
1114,Town of Barre            ,40.0,LA CROSSE,  RUSSLAN COULEE RD   ,0,0,14200,0,14200,0,0,0,14200,0,14200,0
25831,City of La Crosse        ,0.129,LA CROSSE, 1810 WOOD ST   ,122300,132800,16500,17900,138800,150700,91100,109000,19500,23300,110600,132300
7267,Town of Greenfield       ,30.96,LA CROSSE,  COUNTY ROAD YY      ,0,0,4700,0,4700,0,0,0,4600,0,4600,0
58311,Village of Holmen        ,0.341,HOLMEN, 505 RUSSELL DR   W,256200,249200,53500,52000,309700,301200,228500,269100,25900,30500,254400,299600
36171,City of La Crosse        ,0.141,LA CROSSE, 1541 WESTON ST   ,35100,38100,30400,33000,65500,71100,27900,33400,27100,32400,55000,65800
26623,City of La Crosse        ,0.154,LA CROSSE, 2034 ONALASKA AVE  ,115200,125100,19300,21000,134500,146100,91300,109200,18800,22500,110100,131700
18116,Town of Shelby           ,38.63,COON VALLEY, W5324 COUNTY ROAD MM      ,227100,0,83600,0,310700,0,227100,0,83600,0,310700,0
35843,City of La Crosse        ,0.123,LA CROSSE, 1561 HORTON ST   ,122500,133000,26600,28900,149100,161900,100200,119900,22600,27000,122800,146900
25341,City of La Crosse        ,0.162,LA CROSSE, 1513 WOOD ST   ,204400,221900,20000,21700,224400,243600,162400,194300,16700,20000,179100,214300
66353,Town of Shelby           ,0.3,LA CROSSE, 3530 CROWN BLVD ,76700,85700,24800,27700,101500,113400,76700,82700,24800,26700,101500,109400
63216,City of Onalaska         ,7.67,ONALASKA, 3230 KINNEY COULEE RD   S,0,0,112200,113400,112200,113400,0,0,96500,105100,96500,105100
71917,Village of Holmen        ,0.298,HOLMEN, 2102 PRAIRIE PL   ,0,0,100,0,100,0,0,0,0,0,0,0
64927,Town of Burns            ,1.37,BANGOR, N6003 BIG CREEK RD   ,24200,24300,30400,30500,54600,54800,24200,23800,30400,29900,54600,53700
33666,City of La Crosse        ,0.27,LA CROSSE, 1206 HINTGEN CT   ,75700,82200,34000,36900,109700,119100,50000,59800,23500,28100,73500,87900
34271,City of La Crosse        ,0.161,LA CROSSE, 1302 19TH ST   S,133100,144500,27000,29300,160100,173800,105200,125800,24300,29100,129500,154900
16867,Town of Shelby           ,0.39,LA CROSSE, N1960 WEDGEWOOD DR   E,177300,198200,37600,42000,214900,240200,177300,191100,37600,40500,214900,231600
11111,Town of Holland          ,14.12,HOLMEN, N8918 US HIGHWAY 53      ,193200,248300,64800,83300,258000,331600,193200,233200,64800,78200,258000,311400
3398,Town of Campbell         ,0.31,LA CROSSE, 1814 BAINBRIDGE ST   ,106700,115000,36800,39700,143500,154700,106700,114600,36800,39500,143500,154100
33799,City of La Crosse        ,0.106,LA CROSSE, 1512 PARK AVE  ,118400,128600,25200,27400,143600,156000,103800,124200,20200,24200,124000,148400
46382,Village of West Salem    ,0.23,WEST SALEM, 113 DOTTIE CT   ,179300,186500,46700,48600,226000,235100,179300,180700,46700,47100,226000,227800
32709,City of La Crosse        ,0.115,LA CROSSE, 512 14TH ST   S,125500,136300,36500,39600,162000,175900,96200,115100,27900,33400,124100,148500
70660,Village of Holmen        ,2.98,HOLMEN,  US HIGHWAY 53      ,0,0,14300,13900,14300,13900,0,0,13400,15800,13400,15800
63231,Village of West Salem    ,1.31,WEST SALEM, 232 CITY HIGHWAY 16      E,472100,491100,51800,53900,523900,545000,472100,475700,51800,52200,523900,527900
35625,City of La Crosse        ,0.121,LA CROSSE, 3457 WOODBRIDGE CT   ,113500,123200,15300,16600,128800,139800,84500,101100,15300,18300,99800,119400
46424,Village of West Salem    ,0.23,WEST SALEM, 207 MARTIN LN   ,230300,239600,46700,48600,277000,288200,230300,232100,46700,47100,277000,279200
25834,City of La Crosse        ,0.129,LA CROSSE, 1822 WOOD ST   ,113600,123300,16500,17900,130100,141200,71300,85300,19500,23300,90800,108600
42363,City of Onalaska         ,0.1,ONALASKA, 205 13TH AVE  S,97100,98100,17800,18000,114900,116100,67100,73100,18900,20600,86000,93700
52704,City of Onalaska         ,1.02,ONALASKA, 1061 REDWOOD ST   ,788700,797000,133300,134700,922000,931700,715100,778800,105400,114800,820500,893600
59666,Town of Greenfield       ,38.51,LA CROSSE, W4406 COUNTY ROAD YY      ,136000,0,32300,0,168300,0,133200,0,32300,0,165500,0
11272,Town of Holland          ,0.568,HOLMEN, W7839 AMSTERDAM PRAIRIE RD   ,198200,254700,22300,28700,220500,283400,198200,239300,22300,26900,220500,266200
69055,City of Onalaska         ,0.26,ONALASKA, 1289 COUNTY ROAD PH      ,215000,217300,68000,68700,283000,286000,189500,206400,67000,73000,256500,279400
63336,Town of Hamilton         ,0.4,WEST SALEM, W2761 LAKE RD   ,153200,190700,71500,89000,224700,279700,153200,178100,71500,83100,224700,261200
39607,City of La Crosse        ,0.303,LA CROSSE, 4614 CLIFFSIDE DR   ,183500,199200,21400,23200,204900,222400,140500,168100,21600,25800,162100,193900
50874,City of Onalaska         ,0.57,ONALASKA, 3315 AUGUSTA LN   ,411100,415400,82400,83300,493500,498700,345000,375700,90300,98300,435300,474000
10271,Town of Holland          ,1.32,HOLMEN, W7259 SYLVESTER RD   ,150700,193600,27200,35000,177900,228600,150700,181900,27200,32800,177900,214700
63120,Town of Barre            ,1.04,LA CROSSE, W4656 COUNTY ROAD O      ,142700,165600,18200,21100,160900,186700,139300,157000,18200,20500,157500,177500
32182,City of La Crosse        ,0.13,LA CROSSE, 437 22ND ST   S,131100,142400,38800,42100,169900,184500,111900,133900,24000,28700,135900,162600
53437,Town of Greenfield       ,25.78,LA CROSSE,  COUNTY ROAD YY      ,0,0,2800,0,2800,0,0,0,2600,0,2600,0
32148,City of La Crosse        ,0.163,LA CROSSE, 2330 MADISON ST   ,140400,152400,42700,46400,183100,198800,105300,126000,25800,30900,131100,156900
46509,City of La Crosse        ,0.163,LA CROSSE, 721 CALEDONIA ST   ,74500,80900,12600,13700,87100,94600,67700,81000,12300,14700,80000,95700
63527,Town of Medary           ,0.832,LA CROSSE, W5433 TIMBER CREEK TRL  ,163700,179000,34100,37300,197800,216300,163700,168300,34100,35100,197800,203400
42621,City of Onalaska         ,0.26,ONALASKA, 878 8TH AVE  N,182000,183900,38900,39300,220900,223200,134800,146800,40100,43700,174900,190500
37682,City of La Crosse        ,0.172,LA CROSSE, 3147 29TH ST   S,109200,118600,24000,26100,133200,144700,87700,104900,19300,23100,107000,128000
18328,Town of Shelby           ,1.14,STODDARD, W5802 JANISCH RD   ,238200,266300,30500,34100,268700,300400,238200,256700,30500,32900,268700,289600
60858,Town of Holland          ,0.77,HOLMEN, W8005 VERMEER ST   ,200000,257000,26800,34400,226800,291400,200000,241400,26800,32400,226800,273800
10330,Town of Holland          ,43.24,HOLMEN, N8252 COUNTY ROAD V      ,110000,0,70200,0,180200,0,110000,0,70400,0,180400,0
54701,City of La Crosse        ,0.104,LA CROSSE, 1407 4TH ST   S,62200,67500,8400,9100,70600,76600,46000,55000,7400,8900,53400,63900
42847,City of Onalaska         ,0.12,ONALASKA, 730 10TH AVE  N,115200,116400,13500,13600,128700,130000,95300,103800,10500,11400,105800,115200
46867,Town of Bangor           ,0.4,BANGOR,  SOUCHEK RD   ,0,0,100,100,100,100,0,0,100,100,100,100
23504,Village of West Salem    ,0.23,WEST SALEM, 420 OLSON DR   ,163800,170400,41300,43000,205100,213400,163800,165100,41300,41600,205100,206700
11211,Town of Holland          ,2.7,HOLMEN, W7987 VAN LOON LN   ,222100,285400,33500,43000,255600,328400,222100,268100,33500,40400,255600,308500
29516,City of La Crosse        ,0.35,LA CROSSE, 624 KING ST   ,230500,250300,213200,231500,443700,481800,230500,275700,139500,166900,370000,442600
46244,Town of Greenfield       ,1.1,LA CROSSE, W3998 JASON LN   ,214300,248700,45200,52500,259500,301200,214300,248600,45200,52400,259500,301000
43700,City of Onalaska         ,0.27,ONALASKA, 1203 COUNTY ROAD PH      ,131500,132900,33400,33800,164900,166700,94400,102800,29200,31800,123600,134600
3515,Town of Campbell         ,0.17,LA CROSSE, 1726 CAROLINE ST   ,124300,134000,21200,22900,145500,156900,124300,133600,21200,22800,145500,156400
2360,Town of Burns            ,40.0,BANGOR,  STATE ROAD 16      ,0,0,13100,0,13100,0,0,0,12800,0,12800,0
48239,Town of Shelby           ,1.29,LA CROSSE, W5241 KNOBLOCH RD   ,440000,491900,52900,59100,492900,551000,440000,474200,52900,57000,492900,531200
71298,Village of Holmen        ,0.413,HOLMEN, 421 NORTH STAR RD   ,0,0,75600,73500,75600,73500,0,0,45000,53000,45000,53000
53520,Town of Shelby           ,2.3,LA CROSSE, N1401 TIMBER VALLEY RD   ,210700,235500,40600,45400,251300,280900,210700,227100,40600,43800,251300,270900
23213,Village of West Salem    ,0.29,WEST SALEM, 340 WAGON DR   ,179600,186800,45800,47600,225400,234400,179600,181000,45800,46100,225400,227100
51524,City of La Crosse        ,4.05,LA CROSSE, 701 SUMNER ST   ,951700,1033400,722000,784000,1673700,1817400,951700,1138500,722000,863700,1673700,2002200
26862,City of La Crosse        ,0.16,LA CROSSE, 2526 WOOD ST   ,94300,102400,19700,21400,114000,123800,75700,90600,19200,23000,94900,113600
46276,Town of Greenfield       ,6.07,LA CROSSE, N1537 MEADOW RIDGE RD   ,199700,231800,56200,65200,255900,297000,189400,219700,56200,65200,245600,284900
70717,Village of Holmen        ,0.73,HOLMEN, 1610 FLAT RD   ,60000,58400,101100,98400,161100,156800,0,0,82700,97400,82700,97400
38188,City of La Crosse        ,0.206,LA CROSSE, 3422 ELM DR   ,164700,178800,24900,27000,189600,205800,127500,152500,25500,30500,153000,183000
23506,Village of West Salem    ,0.3,WEST SALEM, 409 LEE DR   ,159300,165700,48600,50600,207900,216300,159300,160500,48600,49000,207900,209500
51350,Town of Holland          ,1.07,HOLMEN, N7290 COUNTY ROAD XX      ,177800,228500,19300,24800,197100,253300,177800,214600,19300,23300,197100,237900
6369,Town of Farmington       ,6.14,HOLMEN, N7417 COUNTY ROAD M      ,191900,242900,19300,24400,211200,267300,191900,228300,19300,23000,211200,251300
36712,City of La Crosse        ,0.123,LA CROSSE, 1632 HYDE AVE  ,102100,110900,27300,29600,129400,140500,86000,102900,23600,28200,109600,131100
19431,Town of Washington       ,38.25,WESTBY, W464 COUNTY ROAD P      ,0,0,20150,0,20150,0,0,0,15150,0,15150,0
53490,Town of Farmington       ,7.2,MELROSE, N9319 BURR OAK CT   ,138400,175200,16200,20500,154600,195700,138400,164600,16200,19300,154600,183900
55349,City of La Crosse        ,1.95,LA CROSSE, 158 STATE ROAD 16      ,153800,167000,25900,28100,179700,195100,104400,124900,42400,50700,146800,175600
53521,Town of Shelby           ,1.82,LA CROSSE, N1399 TIMBER VALLEY RD   ,236700,264600,38900,43500,275600,308100,236700,255100,38900,41900,275600,297000
25285,City of La Crosse        ,0.173,LA CROSSE, 2011 LIBERTY ST   ,126700,137600,21200,23000,147900,160600,112200,134200,20000,23900,132200,158100
16991,Town of Shelby           ,0.46,LA CROSSE, 4062 GLENHAVEN DR   ,110900,124000,29400,32900,140300,156900,110900,119500,29400,31700,140300,151200
57473,City of Onalaska         ,0.91,ONALASKA, 2301 MAIN ST   E,217800,220100,65600,66300,283400,286400,182400,198700,47400,51600,229800,250300
72028,Village of Holmen        ,0.275,HOLMEN, 1003 MAPLE SHADE DR   ,20000,19500,61200,59500,81200,79000,0,0,0,0,0,0
39533,City of La Crosse        ,0.654,LA CROSSE, 3415 FIESTA CT   ,277300,301100,220000,238900,497300,540000,277300,331700,220000,263200,497300,594900
15015,Town of Onalaska         ,0.27,ONALASKA, W8392 WOODVIEW DR   ,102500,131900,18900,24300,121400,156200,102500,124300,18900,22900,121400,147200
53843,Town of Holland          ,0.81,HOLMEN, W7727 TRACE CT   ,282100,362500,32000,41100,314100,403600,282100,340500,32000,38600,314100,379100
47571,City of Onalaska         ,0.77,ONALASKA, 2101 MAPLEWOOD DR   ,373000,376900,75800,76600,448800,453500,335800,365700,60500,65900,396300,431600
45731,City of La Crosse        ,0.33,LA CROSSE, 1407 NAKOMIS AVE  ,448300,486800,178100,193400,626400,680200,275600,329700,127700,152800,403300,482500
28556,City of La Crosse        ,0.284,LA CROSSE, 603 23RD ST   N,136700,148400,64700,70300,201400,218700,110200,131800,40400,48300,150600,180100
72696,Town of Bangor           ,40.0,BANGOR,  DARLING RD   ,0,0,52200,0,52200,0,0,0,52200,0,52200,0
36956,City of La Crosse        ,0.179,LA CROSSE, 2315 23RD ST   S,115800,125700,28100,30500,143900,156200,93100,111400,25800,30900,118900,142300
44297,City of Onalaska         ,0.21,ONALASKA, 236 KEVIN CT   ,257500,260200,45200,45700,302700,305900,246800,268800,43200,47000,290000,315800
59948,Town of Holland          ,0.7,HOLMEN, W7954 COUNTRY AVE  ,267800,344100,32000,41100,299800,385200,267800,323300,32000,38600,299800,361900
39037,City of La Crosse        ,0.134,LA CROSSE, 1907 HYDE AVE  ,103300,112200,31100,33800,134400,146000,83500,99900,28900,34600,112400,134500
62338,Town of Hamilton         ,20.95,WEST SALEM,  STATE ROAD 108      ,0,0,8300,0,8300,0,0,0,8400,0,8400,0
23661,City of La Crosse        ,0.163,LA CROSSE, 1208 ROSE ST   ,89700,97400,11300,12300,101000,109700,78700,94100,9800,11700,88500,105800
24917,City of La Crosse        ,0.111,LA CROSSE, 1403 CHARLES ST   ,88300,95900,10800,11700,99100,107600,64100,76700,10400,12400,74500,89100
3261,Town of Campbell         ,0.2,LA CROSSE, 2548 ISLAND PARK RD   ,77000,83000,26100,28100,103100,111100,74400,79900,26100,28000,100500,107900
42565,City of Onalaska         ,0.27,ONALASKA, 524 14TH AVE  N,207600,209800,47900,48400,255500,258200,160500,174800,37600,40900,198100,215700
45991,Town of Onalaska         ,0.79,HOLMEN, W6024 ANDERSON RD   ,75300,96900,23700,30500,99000,127400,75300,91300,23700,28700,99000,120000
67333,City of La Crosse        ,0.4,LA CROSSE, 1532 ISLAND ST   ,307600,334000,23700,25700,331300,359700,243600,291400,24000,28700,267600,320100
42839,City of Onalaska         ,0.05,ONALASKA, 730 10TH AVE  N,67000,67700,13500,13600,80500,81300,58600,63800,10500,11400,69100,75200
49222,City of La Crosse        ,1.85,LA CROSSE,  EAST AVE  S,0,0,442200,480200,442200,480200,0,0,442200,529000,442200,529000
68936,Town of Greenfield       ,0.26,LA CROSSE,  COUNTY ROAD M      ,0,0,500,600,500,600,0,0,500,600,500,600
44811,City of Onalaska         ,0.3,ONALASKA, 301 LARKSPUR LN   E,349800,353500,50000,50500,399800,404000,357000,388800,41900,45600,398900,434400
39781,City of La Crosse        ,0.228,LA CROSSE, 4020 OLD TOWN HALL RD   ,77300,83900,26500,28800,103800,112700,60900,72900,16700,20000,77600,92900
46050,Town of Holland          ,37.39,HOLMEN, N6767 BRIGGS RD   ,93400,120000,102000,131100,195400,251100,93400,112700,102000,123100,195400,235800
72694,Town of Hamilton         ,37.88,HOLMEN, W4270 SWEDEN COULEE RD   ,141500,0,75500,0,217000,0,141500,0,75500,0,217000,0
36416,City of La Crosse        ,0.15,LA CROSSE, 1909 20TH ST   S,133000,144400,31200,33900,164200,178300,106500,127400,25200,30100,131700,157500
37331,City of La Crosse        ,0.228,LA CROSSE, 2130 31ST ST   S,170900,185600,29500,32000,200400,217600,133000,159100,24800,29700,157800,188800
16421,Town of Shelby           ,1.2,LA CROSSE, N2477 THREE TOWN RD   ,178600,199700,33700,37700,212300,237400,178600,192500,33700,36300,212300,228800
66831,Town of Onalaska         ,1.05,ONALASKA, N5344 STATE ROAD 35      ,128000,164700,25300,32600,153300,197300,128000,155200,25300,30700,153300,185900
521,Town of Bangor           ,19.89,ROCKLAND, N3685 COUNTY ROAD J      ,157100,182800,43400,50500,200500,233300,157100,176600,43400,48800,200500,225400
23410,Village of West Salem    ,0.22,WEST SALEM, 621 ELM ST   W,79500,82700,36900,38400,116400,121100,79500,80100,36900,37200,116400,117300
37554,City of La Crosse        ,0.319,LA CROSSE, 3217 29TH CT   S,133600,145100,31000,33700,164600,178800,105100,125700,29600,35400,134700,161100
42549,City of Onalaska         ,0.2,ONALASKA, 808 QUINCY ST   ,184800,186800,37400,37800,222200,224600,133000,144800,36600,39900,169600,184700
21175,Village of Holmen        ,0.4,HOLMEN, 618 ALPINE LN   ,77300,75200,46500,45200,123800,120400,74800,88100,27200,32000,102000,120100
47047,Town of Campbell         ,0.53,LA CROSSE, 1638 CAROLINE ST   ,82600,89100,49500,53400,132100,142500,82600,88700,49500,53200,132100,141900
62219,Town of Shelby           ,0.319,LA CROSSE, W5735 THISTLEDOWN DR   ,320500,358300,36300,40600,356800,398900,320500,345400,36300,39100,356800,384500
3047,Town of Campbell         ,0.3,LA CROSSE, 322 CHURCH DR   ,132700,143100,37000,39900,169700,183000,132700,142600,37000,39800,169700,182400
9683,Town of Hamilton         ,28.38,ONALASKA,  KOSS RD   ,0,0,93700,116700,93700,116700,0,0,93700,108900,93700,108900
21584,Village of Holmen        ,0.21,HOLMEN, 3106 PLEASANT DR   S,203600,198100,38400,37400,242000,235500,138500,163100,27500,32400,166000,195500
51890,Town of Farmington       ,37.03,MINDORO,  COUNTY ROAD M      ,0,0,15600,0,15600,0,0,0,15600,0,15600,0
37081,City of La Crosse        ,0.273,LA CROSSE, 2518 29TH ST   S,153700,166900,29900,32500,183600,199400,133700,159900,25300,30300,159000,190200
1741,Town of Burns            ,40.0,BANGOR,  COUNTY ROAD EE      ,0,0,32400,0,32400,0,0,0,32300,0,32300,0
13118,Town of Onalaska         ,1.53,HOLMEN, N6786 FREIER RD   ,168900,217300,27700,35600,196600,252900,168900,204800,27700,33600,196600,238400
39788,City of La Crosse        ,0.248,LA CROSSE, 4027 RIVERVIEW DR   ,90500,98300,27700,30100,118200,128400,73800,88300,17600,21100,91400,109400
59622,City of Onalaska         ,0.127,ONALASKA, 510 GREEN COULEE RD   ,200400,202500,27500,27800,227900,230300,177400,193200,26200,28500,203600,221700
71100,Town of Holland          ,10.404,HOLMEN,  CASBERG COULEE RD   ,0,0,22900,29400,22900,29400,0,0,22900,27600,22900,27600
12460,Town of Medary           ,6.72,LA CROSSE, W4954 COUNTY ROAD B      ,95400,104300,44900,49100,140300,153400,95400,98100,44900,46200,140300,144300
48136,Village of Holmen        ,0.27,HOLMEN, 805 EASTWOOD ST   ,180600,175700,46100,44800,226700,220500,157600,185600,33900,39900,191500,225500
29977,City of La Crosse        ,0.189,LA CROSSE, 234 20TH ST   S,164800,178900,51300,55700,216100,234600,129700,155200,39100,46800,168800,202000
67560,Town of Medary           ,0.832,LA CROSSE, W5461 TIMBER CREEK TRL  ,190900,208700,34100,37300,225000,246000,190900,196200,34100,35100,225000,231300
37677,City of La Crosse        ,0.184,LA CROSSE, 3165 29TH ST   S,110800,120300,25800,28000,136600,148300,82600,98800,21700,26000,104300,124800
25102,City of La Crosse        ,0.16,LA CROSSE, 1703 GEORGE ST   ,111800,121400,48000,52100,159800,173500,111800,133700,48000,57400,159800,191100
1044,Town of Barre            ,2.31,WEST SALEM, N3650 OLD M RD   ,196800,228400,25900,30100,222700,258500,196800,221800,25900,29200,222700,251000
66288,Town of Holland          ,3.13,HOLMEN, W6409 COUNTY ROAD V      ,147800,189900,30400,39100,178200,229000,147800,178400,30400,36700,178200,215100
66293,Town of Holland          ,1.49,HOLMEN, N8346 FLATEN RD   ,195600,251300,21900,28100,217500,279400,195600,236100,21900,26400,217500,262500
65615,Town of Burns            ,39.0,BANGOR,  COUNTY ROAD E      ,0,0,7400,0,7400,0,0,0,7300,0,7300,0
36522,City of La Crosse        ,0.177,LA CROSSE, 2202 SUNRISE DR   ,129800,140900,27700,30100,157500,171000,106300,127200,19300,23100,125600,150300
64604,Town of Farmington       ,0.77,MINDORO,  COUNTY ROAD C      ,15200,19200,14000,17700,29200,36900,15200,18100,14000,16700,29200,34800
17701,Town of Shelby           ,22.79,LA CROSSE,  KAMMEL RD   ,38800,43400,81100,90700,119900,134100,38800,41800,81100,87400,119900,129200
16677,Town of Shelby           ,0.32,LA CROSSE,  WEDGEWOOD DR   E,0,0,33500,37400,33500,37400,0,0,33500,36100,33500,36100
39154,City of La Crosse        ,0.241,LA CROSSE, 2007 30TH ST   S,108600,117900,29800,32400,138400,150300,86300,103200,22900,27400,109200,130600
25713,City of La Crosse        ,0.128,LA CROSSE, 2012 WOOD ST   ,65700,71300,16500,17900,82200,89200,54500,65200,19500,23300,74000,88500
34958,City of La Crosse        ,0.172,LA CROSSE, 3002 DENTON ST   ,56400,61200,23900,26000,80300,87200,53200,63600,15000,17900,68200,81500
18298,Town of Shelby           ,1.64,STODDARD, N162 STATE ROAD 35      ,450500,503600,40100,44800,490600,548400,450500,485500,40100,43200,490600,528700
70128,Town of Farmington       ,11.24,HOLMEN, N8085 COUNTY ROAD W      ,136800,173200,15700,19900,152500,193100,136800,162700,15700,18700,152500,181400
35332,City of La Crosse        ,0.085,LA CROSSE, 3518 EAST AVE  S,86700,94100,10000,10900,96700,105000,83300,99600,10000,12000,93300,111600
45093,City of Onalaska         ,0.82,ONALASKA, 2908 HEATHER CT   ,420600,425000,121900,123200,542500,548200,418100,455300,121900,132800,540000,588100
49823,City of Onalaska         ,0.21,ONALASKA, 834 TAHOE DR   ,323800,327200,41000,41400,364800,368600,268700,292600,55400,60300,324100,352900
3091,Town of Campbell         ,0.23,LA CROSSE, 2510 1ST AVE  W,156900,169200,30800,33200,187700,202400,156900,168600,30800,33100,187700,201700
65800,City of Onalaska         ,0.61,ONALASKA, 4036 PINEVIEW ST   ,332700,336200,70600,71300,403300,407500,282100,307200,70600,76900,352700,384100
10503,Town of Holland          ,19.49,HOLMEN, N7670 CASBERG COULEE RD   ,170000,0,35600,0,205600,0,170000,0,35700,0,205700,0
44176,City of Onalaska         ,0.29,ONALASKA, 679 CUSTER CT   ,169200,171000,34200,34600,203400,205600,140200,152700,33300,36300,173500,189000
16686,Town of Shelby           ,0.89,LA CROSSE, N2025 WEDGEWOOD DR   E,278200,311000,48200,53900,326400,364900,278200,299800,48200,51900,326400,351700
6643,Town of Farmington       ,14.13,HOLMEN,  COUNTY ROAD V      ,0,0,1900,0,1900,0,0,0,1900,0,1900,0
59226,Town of Farmington       ,11.58,MINDORO, W2635 HARTMAN RD   ,0,0,10700,0,10700,0,0,0,10700,0,10700,0
23689,City of La Crosse        ,0.115,LA CROSSE, 1101 CALEDONIA ST   ,142500,154700,10600,11500,153100,166200,117500,140600,8800,10500,126300,151100
54508,City of Onalaska         ,0.255,ONALASKA, 551 FAIRWAY CREEK DR   ,449200,453900,60200,60800,509400,514700,432900,471500,60200,65600,493100,537100
59259,Town of Farmington       ,14.86,MINDORO, W3724 JOSTAD RD   ,35000,44300,40300,51000,75300,95300,35000,41600,40300,47900,75300,89500
36744,City of La Crosse        ,0.126,LA CROSSE, 2121 HYDE AVE  ,158100,171700,27300,29600,185400,201300,133100,159200,24600,29400,157700,188600
55551,Village of West Salem    ,3.01,WEST SALEM, 915 INDUSTRIAL DR   ,1047700,1089900,338000,351600,1385700,1441500,1047700,1055700,313900,316300,1361600,1372000
43328,City of Onalaska         ,0.34,ONALASKA, 1212 RED CEDAR CT   ,325800,329200,47400,47900,373200,377100,214000,233100,44700,48700,258700,281800
60239,Village of Holmen        ,1.207,HOLMEN, 704 DEERWOOD ST   ,281000,273400,70700,68800,351700,342200,226200,266400,62900,74100,289100,340500
59400,Town of Burns            ,39.09,BANGOR,  GARVES COULEE RD   ,0,0,62800,0,62800,0,0,0,62800,0,62800,0
22254,Village of Rockland      ,0.21,ROCKLAND,  CANARY DR   ,0,0,14700,14700,14700,14700,0,0,14500,17100,14500,17100
52112,Town of Hamilton         ,0.131,WEST SALEM, W4261 CERESA DR   ,114700,142800,11500,14300,126200,157100,114700,133400,11500,13400,126200,146800
6156,Town of Farmington       ,6.1,MINDORO, W3069 COUNTY ROAD T      ,153800,194700,19200,24300,173000,219000,153800,182900,19200,22800,173000,205700
26746,City of La Crosse        ,1.48,LA CROSSE, 3215 GEORGE ST   ,0,0,253700,275500,253700,275500,0,0,253700,303500,253700,303500
37357,City of La Crosse        ,0.227,LA CROSSE, 2101 29TH ST   S,166500,180800,28100,30500,194600,211300,139300,166600,23800,28500,163100,195100
33656,City of La Crosse        ,0.15,LA CROSSE, 1225 FARNAM ST   ,128800,139900,26600,28900,155400,168800,76100,91000,20200,24200,96300,115200
21921,Village of Holmen        ,1.08,HOLMEN, 722 WESTERN AVE  ,216000,210100,126400,123000,342400,333100,182700,215100,75000,88300,257700,303400
63130,Town of Barre            ,9.7,WEST SALEM, W4730 COUNTY ROAD B      ,169300,196500,38800,45000,208100,241500,169300,190800,38800,43700,208100,234500
43540,City of Onalaska         ,0.22,ONALASKA, 933 KEITH PL   ,229400,231800,38900,39300,268300,271100,194100,211400,38900,42400,233000,253800
9971,Town of Hamilton         ,1.08,WEST SALEM, W3788 SOUTHERN DR   ,230700,287200,42300,52700,273000,339900,230700,268200,42300,49200,273000,317400
1846,Town of Burns            ,10.0,BANGOR,  CULPITT RD   ,0,0,7500,0,7500,0,0,0,7400,0,7400,0
61474,City of Onalaska         ,0.42,ONALASKA, 926 SUMMERS DAY LN   ,0,0,53600,54200,53600,54200,0,0,49700,54100,49700,54100
